,vacancy_name,salary_min,salary_max,salary_curr,href,source
0,Data scientist,200000.0,240000.0,руб.,https://hh.ru/vacancy/74376536?from=vacancy_search_list&query=Data+scientist,http://www.astorsoft.ru
1,Data Scientist middle+/Senior,250000.0,350000.0,руб.,https://hh.ru/vacancy/77208642?from=vacancy_search_list&query=Data+scientist,ИП Мамаева Ирина Анатольевна
2,Data scientist,150000.0,300000.0,руб.,https://hh.ru/vacancy/74257661?from=vacancy_search_list&query=Data+scientist,https://azurdrive.ru/
3,Аналитик данных (Data Scientist) / ML-разработчик,,,,https://hh.ru/vacancy/77223284?from=vacancy_search_list&query=Data+scientist,http://www.it-expertise.ru
4,Data Scientist (LTV),,,,https://hh.ru/vacancy/76536709?from=vacancy_search_list&query=Data+scientist,"билайн: ИТ, Data, Digital"
5,Эконометрист/Data scientist (Junior/Middle) в консалтинг,40000.0,,руб.,https://hh.ru/vacancy/75546364?from=vacancy_search_list&query=Data+scientist,http://bst-mc.com
6,Data analyst| Data engineer,,,,https://hh.ru/vacancy/76775319?from=vacancy_search_list&query=Data+scientist,ИП TMT
7,Middle data scientist / исследователь,,,,https://hh.ru/vacancy/76996360?from=vacancy_search_list&query=Data+scientist,https://udv.dev/
8,Mid/Mid+ Data Scientist,,,,https://hh.ru/vacancy/76396688?from=vacancy_search_list&query=Data+scientist,http://www.platformaofd.ru
9,Senior Data Scientist,,,,https://hh.ru/vacancy/77360665?from=vacancy_search_list&query=Data+scientist,ЧУ «Центр информационных технологий и сервиса NIS»
10,Senior Data Scientist,,,,https://hh.ru/vacancy/77360663?from=vacancy_search_list&query=Data+scientist,ЧУ «Центр информационных технологий и сервиса NIS»
11,Lead data scientist (Анализ цены и Trade in),,,,https://hh.ru/vacancy/76954383?from=vacancy_search_list&query=Data+scientist,Домклик
12,Data Engineer,,,,https://hh.ru/vacancy/77239913?from=vacancy_search_list&query=Data+scientist,билайн: Контактные центры
13,Middle/Senior Analyst BI (remote),,,,https://hh.ru/vacancy/77220000?from=vacancy_search_list&query=Data+scientist,https://crezu.com
14,Middle Data Scientist,,500000.0,руб.,https://hh.ru/vacancy/72888902?from=vacancy_search_list&query=Data+scientist,Группа Самолет
15,Customer Success Manager,,,,https://hh.ru/vacancy/73589267?from=vacancy_search_list&query=Data+scientist,https://yandex.ru/jobs/
16,"Senior Backend Software Engineer (Java / Kotlin), Remote",4000.0,7000.0,USD,https://hh.ru/vacancy/77208117?from=vacancy_search_list&query=Data+scientist,https://inca.digital
17,"Senior Backend Software Engineer (Java / Kotlin), Remote",4000.0,7000.0,USD,https://hh.ru/vacancy/77209158?from=vacancy_search_list&query=Data+scientist,https://inca.digital
18,HR BP/HR Business Partner (IT компания),200000.0,250000.0,руб.,https://hh.ru/vacancy/77134628?from=vacancy_search_list&query=Data+scientist,https://tevian.ru/
19,Senior Front developer (React),,,,https://hh.ru/vacancy/77355958?from=vacancy_search_list&query=Data+scientist,https://smartym.by
